text,label
팀 공유 자료 검색,SEARCH
신청서 양식 만들어줘,GENERATION
개인정보처리방침 찾아줘,SEARCH
경영지원팀 연락처,QUESTION
중국어 버전 만들어줘,GENERATION
배포 서버 IP 뭐야,QUESTION
식대 얼마야,QUESTION
페르소나 문서 조회,SEARCH
광고 ROI 분석해줘,ANALYSIS
유연근무제 어떻게 해,QUESTION
미팅 요청 메일 작성,GENERATION
혹시 관련 문서 있어?,SEARCH
공급망 리스크 분석,ANALYSIS
작년 영업이익 얼마였어,QUESTION
매출 보고서 찾아서 비교 분석해줘,ANALYSIS
구글 뭐 발표했어?,QUESTION
벡터 DB가 뭐야,QUESTION
프로젝트 지연 원인 분석해줘,ANALYSIS
API 엔드포인트 코드 짜줘,GENERATION
매출 분석해서 보고서 만들어줘,GENERATION
서울 날씨 알려줘,QUESTION
너무 고마워,CASUAL
나중에,CASUAL
